"TRF","RWLZWTRF019","woven label","55x20mm","WOVEN LABEL ZARA LADIES TRF BLACK (55x20mm)recycle","32.9175","Approved ",,"DHL#2907422431(normal yarn)","2018/11/24","2018/12/15","31"
"TRF","RWLZWTRF021","woven label","20x20mm","WOVEN LABEL ZARA LADIES TRF BLACK (20x20mm)recycle","14.9625","Approved ",,"DHL#2907422431(normal yarn)","2018/11/24","2018/12/15","32"
"TRF","RWLZWTRF023","woven label","20x20mm","WOVEN LABEL ZARA LADIES TRF BLACK (20x20mm)recycle","14.9625","Approved ",,"DHL#2907422431(normal yarn)","2018/11/24","2018/12/15","33"
"TRF","RWLZWTRF025","woven label","20x20mm","WOVEN LABEL ZARA LADIES TRF BLACK (20x20mm)recycle","14.9625","Approved ",,"DHL#2907422431(normal yarn)","2018/11/24","2018/12/15","34"
"TRF","RWLZWTRF027","woven label","20x20mm","WOVEN LABEL ZARA LADIES TRF BLACK (20x20mm)recycle","14.9625","Submitted and waiting for approval",,"DHL#1522232401","2019/3/28",,"35"
"TRF","RWLZWTRF029","woven label","20x20mm","WOVEN LABEL ZARA LADIES TRF BLACK (20x20mm)recycle","14.9625","Approved ",,"DHL#2907422431(normal yarn)","2018/11/24","2018/12/15","36"
"TRF","RWLZWTRF031","woven label","20x20mm","WOVEN LABEL ZARA LADIES TRF BLACK (20x20mm)recycle","14.9625","Approved ",,"DHL#2907422431(normal yarn)","2018/11/24","2018/12/15","37"
"TRF","RWLZWTRF035","woven label","20x20mm","WOVEN LABEL ZARA LADIES TRF BLACK (20x20mm)recycle","14.9625","Approved ",,"DHL#2907422431(normal yarn)","2018/11/24","2018/12/15","38"
"TRF","RWLZWTRF037","woven label","9x50mm","WOVEN LABEL ZARA LADIES TRF WHITE (9x50mm)recycle","13.715625","Approved ",,"DHL#2907422431(normal yarn)","2018/11/24","2018/12/15","39"
"TRF","RWLZWTRF039","woven label","55x10mm","WOVEN LABEL ZARA LADIES TRF WHITE (55x10mm)recycle","14.9625","Approved ",,"DHL#2907422431(normal yarn)","2018/11/24","2018/12/15","40"
"TRF","RWLZWTRF041","woven label","20x20mm","WOVEN LABEL ZARA LADIES TRF BLACK (20x20mm)recycle","14.9625","Approved ",,"DHL#2907422431(normal yarn)","2018/11/24","2018/12/15","41"
"TRF","WTZWTRF001","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","42"
"TRF","WTZWTRF002","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","43"
"TRF","WTZWTRF003","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","44"
"TRF","WTZWTRF004","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","45"
"TRF","WTZWTRF005","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","46"
"TRF","WTZWTRF006","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","47"
"TRF","WTZWTRF007","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","48"
"TRF","WTZWTRF008","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","49"
"TRF","WTZWTRF009","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,,,,"50"
"TRF","WTZWTRF010","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,,,,"51"
"TRF","WTZWTRF011","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","Waiting for information",,"DHL# 1522232401","2019/3/26",,"52"
"TRF","WTZWTRF012","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,"DHL#8349248622","2019/1/5",,"53"
"TRF","WTZWTRF013","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,"DHL#8349248622","2019/1/5",,"54"
"TRF","WTZWTRF014","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,"DHL#8349248622","2019/1/5",,"55"
"TRF","WTZWTRF015","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,"DHL#8349248622","2019/1/5",,"56"
"TRF","WTZWTRF016","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,"DHL#8349248622","2019/1/5",,"57"
"TRF","WTZWTRF017","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,"DHL#8349248622","2019/1/5",,"58"
"TRF","WTZWTRF018","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,"DHL#8349248622","2019/1/5",,"59"
"TRF","WTZWTRF019","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,"DHL#8349248622","2019/1/5",,"60"
"TRF","WTZWTRF020","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,"DHL#8349248622","2019/1/5",,"61"
"TRF","WTZWTRF021","Waist tag","50x102mm","WAIST TAG ZARA TRF (50x102mm)","16","No sampling",,"DHL#8349248622","2019/1/5",,"62"
"Woman","HPZWWOM002","Hangtag","55x110mm","HANGTAG ZARA WOMAN (55x110mm) MATT LAMINATED ON 2 SIDES | DYED GARMENTS
hangtag + blue+red piggy 2.0 sticker","33","Approved",,"DHL# 1522232401","2019/3/26",,"63"
"Woman","HPZWWOM002","Hangtag","55x110mm","HANGTAG ZARA WOMAN (55x110mm) MATT LAMINATED ON 2 SIDES | DYED GARMENTS
hangtag + black piggy 2.0 sticker","30.5","Waiting for information",,"DHL# 1522232401","2019/3/26",,"64"
"Woman","HPZWWOM002","Hangtag","55x110mm","HANGTAG ZARA WOMAN (55x110mm) MATT LAMINATED ON 2 SIDES | DYED GARMENTS
hangtag only","23","Waiting for information",,"DHL# 1522232401","2019/3/26",,"65"
"Woman","MOON001","String","210mm","BLACK WAXED LOCKPIN (210mm)","9.5","Waiting for information",,"DHL#8349248622","2019/1/5",,"66"
"Woman","MOON002","String","210mm","WHITE WAXED LOCKPIN (210 mm / General)","9.5","Waiting for information",,"DHL#8349248622","2019/1/5",,"67"
"Woman","WLZWPRD001","Woven label","55x10mm","WOVEN LABEL ZARA WOMAN (55x10mm)","10","Submitted",,"DHL#2907422431","2018/11/24","2018/12/15","68"
"Woman","WLZWPRD002","Woven label","55x10mm","WOVEN LABEL ZARA WOMAN (55x10mm)","10","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","69"
"Woman","WLZWPRD0024","Woven label","35x30mm","WOVEN LABEL ZARA WOMAN ","17","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","70"
"Woman","WLZWPRD003","Woven label","10x65mm","WOVEN LABEL ZARA WOMAN (65x10mm)","11","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","71"
"Woman","WLZWPRD004","Woven label","10x65mm","WOVEN LABEL ZARA WOMAN (65x10mm)","11","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","72"
"Woman","WLZWPRD005","Woven label","12x80mm","WOVEN LABEL ZARA WOMAN (80x12mm)","13","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","73"
"Woman","WLZWPRD006","Woven label","12x80mm","WOVEN LABEL ZARA WOMAN (80x12mm)","13","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","74"
"Woman","WLZWPRD007","Woven label","15x70mm","WOVEN LABEL ZARA WOMAN (70x15mm)","15","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","75"
"Woman","WLZWPRD008","Woven label","15x70mm","WOVEN LABEL ZARA WOMAN (70x15mm)","15","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","76"
"Woman","WLZWPRD009","Woven label","20x85mm","WOVEN LABEL ZARA WOMAN (85x20mm)","26","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","77"
"Woman","WLZWPRD010","Woven label","20x85mm","WOVEN LABEL ZARA WOMAN (85x20mm)","26","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","78"
"Woman","WLZWPRD011","Woven label","35x35mm","WOVEN LABEL ZARA WOMAN (35x35mm)","17","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","79"
"Woman","WLZWPRD012","Woven label","35x35mm","WOVEN LABEL ZARA WOMAN (35x35mm)","17","Approved",,"DHL#2907422431","2018/11/24","2018/12/15","80"
